,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$u_{SCF}$,496,473,455,440,427,418,407,401,400,390,385,383,380,377,375,370,364,359,356,353
1,$u_{25}$,496,469,446,431,423,414,405,397,395,391,384,380,376,372,369,364,359,357,355,351
2,$u_{50}$,496,468,445,430,422,415,407,402,395,389,387,384,377,371,365,363,361,358,356,353
3,$u_{75}$,496,464,446,429,424,413,404,394,393,390,386,378,375,370,367,363,359,357,356,350
