,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$u_{SCF}$,286,231,202,181,173,157,148,142,140,135,131,125,119,114,111,109,105,102,100,100
1,$u_{25}$,286,235,196,177,164,157,148,141,138,134,130,124,122,116,113,106,105,102,101,98
2,$u_{50}$,286,238,198,176,163,155,146,142,136,129,127,122,119,117,114,108,105,103,96,95
3,$u_{75}$,286,236,192,174,160,155,146,142,136,132,128,124,120,117,110,105,104,102,99,96
