,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$u_{SCF}$,935,850,795,747,712,681,660,644,636,616,604,595,584,575,569,561,548,537,531,525
1,$u_{25}$,935,852,783,736,702,680,658,639,630,620,606,594,584,573,566,553,547,538,532,523
2,$u_{50}$,935,854,783,734,701,683,659,646,632,615,607,595,582,570,559,549,542,535,524,517
3,$u_{75}$,935,848,778,729,698,677,653,638,627,616,605,592,582,572,561,552,545,537,530,518
