,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power_big}$,347,43,6,77,473,0.983881284380197,0.048484001676680176,0.9701671397035634
1,$u_{Power}$,359,45,5,81,490,0.9832223360655737,0.050097683505442366,0.9690734662963898
