,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power_big}$,459,104,12,165,740,0.9704614737727321,0.04751552795031056,0.9614663611747554
1,$u_{Power}$,461,108,11,169,749,0.9697097181320993,0.04769787894464563,0.9609672208035854
