,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power_big}$,389,51,7,92,539,0.9819841460485227,0.04919069296914517,0.9680895151263987
1,$u_{Power}$,399,54,6,93,552,0.9816568756743795,0.05055112124667427,0.9673913043478259
