,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{noise}$,865,41,18,98,1022,0.9819519484998276,0.10329591593026033,0.94355462277698
1,$u_{Power}$,841,38,15,101,995,0.9822784810126582,0.10032208040081117,0.9449272153650302
