,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{noise}$,687,25,15,64,791,0.9860981152252373,0.10326168645723734,0.9491154712126086
1,$u_{Power}$,674,25,9,66,774,0.986650647443599,0.10146018365196448,0.9502442787348933
