,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{noise}$,762,31,15,76,884,0.9847557166062727,0.10309836287376539,0.9468941487444432
1,$u_{Power}$,739,28,12,76,855,0.9854745805159029,0.09975701943844492,0.9484784573666768
