,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{noise}$,994,77,56,211,1338,0.9644260599793175,0.10017131915751284,0.9330665332666332
1,$u_{Power}$,992,88,63,209,1352,0.9627714581178903,0.09996976720749773,0.9323052273182456
