,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$u_{SCF}$,376,340,311,289,268,254,242,231,223,215,207,199,193,191,185,176,170,169,165,161
1,$u_{new embed}$,438,389,348,323,294,272,260,241,233,226,220,213,204,197,191,188,183,177,173,168
