,models,auc,far
0,$Average$,60.0675,$Average$
1,$u_{SCF}$,64.77,{SCF}$
2,$u_{25}$,64.5375,{25}$
3,$u_{50}$,64.2375,{50}$
4,$u_{75}$,64.2225,{75}$
