,models,auc,far
0,$Average$,21.8325,$Average$
1,$u_{SCF}$,21.7725,{SCF}$
2,$u_{25}$,21.8325,{25}$
3,$u_{50}$,21.6225,{50}$
4,$u_{75}$,21.6525,{75}$
