,models,auc,far
0,$Average$,19.0275,$Average$
1,$u_{SCF}$,20.055,{SCF}$
2,$u_{25}$,20.19,{25}$
3,$u_{50}$,19.8075,{50}$
4,$u_{75}$,20.055,{75}$
