,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$Average$,153,146,138,126,112,106,105,101,96,91,88,87,85,84,83,82,79,76,75,72
1,$u_{SCF}$,125,120,111,102,94,87,85,83,79,75,73,71,71,69,68,67,64,63,62,59
2,$u_{25}$,130,125,117,105,97,91,87,83,81,78,77,76,72,69,68,67,67,64,62,61
3,$u_{50}$,135,129,119,108,102,99,93,89,88,83,80,78,75,71,70,68,67,65,62,59
4,$u_{75}$,126,121,113,102,92,88,84,83,80,78,76,75,73,70,68,68,66,63,60,57
