,models,auc,far
0,$Average$,96.7875,$Average$
1,$u_{SCF}$,98.7525,{SCF}$
2,$u_{25}$,98.9475,{25}$
3,$u_{50}$,98.91,{50}$
4,$u_{75}$,98.1975,{75}$
