,models,auc,far
0,$Average$,33.915,$Average$
1,$u_{SCF}$,32.265,{SCF}$
2,$u_{25}$,32.7675,{25}$
3,$u_{50}$,32.8575,{50}$
4,$u_{75}$,32.3775,{75}$
