,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,202,75,22,188,487,0.9697741011772192,0.023809523809523808,0.9740612516644473
1,$u_{SCF}$,202,71,22,189,484,0.9700954400848356,0.02381233054343982,0.9742279020234292
