,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,90,42,13,149,294,0.9780077619663649,0.012934751365334866,0.9840546697038725
1,$u_{SCF}$,87,40,14,146,287,0.9784343325425922,0.0125,0.984431787360998
