,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,40,15,9,93,157,0.9871173750275269,0.008633714655730628,0.9913197324044895
1,$u_{SCF}$,41,15,8,94,158,0.9871202113606341,0.00885337939969769,0.9912668582799027
