,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,443,123,45,209,820,0.9607291666666666,0.04627598453985167,0.9574379736323057
1,$u_{SCF}$,441,118,42,211,812,0.9613541666666666,0.04606706361642118,0.9578619615983394
