,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{SCF}$,814,52,22,106,994,0.9800664451827242,0.09163570865698525,0.9468278592061624
1,$u_{Power}$,809,55,20,109,993,0.9796008869179601,0.09097042617789272,0.9467988213233326
