,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,503,129,46,225,903,0.9586349534643226,0.05069031542880177,0.9535565499151365
1,$u_{SCF}$,512,125,47,223,907,0.9591520165460186,0.051597299203869795,0.9533843860821298
