,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{noise}$,633,32,11,65,741,0.9858952592399112,0.09177903436276642,0.9532167434812804
1,$u_{Power}$,641,31,10,64,746,0.9862655330281229,0.0927775365465335,0.9528623783647163
