,models,auc,far
0,$Average$,14.8875,$Average$
1,$u_{SCF}$,12.21,{SCF}$
2,$u_{25}$,12.285,{25}$
3,$u_{50}$,12.0825,{50}$
4,$u_{75}$,12.135,{75}$
