,models,auc,far
0,$Average$,2.805,$Average$
1,$u_{SCF}$,1.7175,{SCF}$
2,$u_{25}$,1.5675,{25}$
3,$u_{50}$,1.545,{50}$
4,$u_{75}$,1.5525,{75}$
