,models,auc,far
0,$Average$,96.7875,$Average$
1,$u_{SCF}$,98.7525,{SCF}$
2,$u_{25}$,98.925,{25}$
3,$u_{50}$,99.3825,{50}$
4,$u_{75}$,98.3475,{75}$
