,models,auc,far
0,$Average$,0.146,$Average$
1,$u_{SCF}$,0.1463,{SCF}$
2,$u_{25}$,0.1463,{25}$
3,$u_{50}$,0.1463,{50}$
4,$u_{75}$,0.1463,{75}$
