,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$Average$,935,850,795,747,712,681,660,644,636,616,604,595,584,575,569,561,548,537,531,525
1,$u_{SCF}$,896,819,772,735,711,687,674,659,653,640,632,623,613,604,599,590,575,568,562,555
2,$u_{25}$,892,807,758,734,712,692,678,668,652,644,639,627,617,607,599,593,582,574,560,555
3,$u_{50}$,897,809,765,737,714,697,684,671,656,649,641,633,619,611,600,591,581,575,565,556
4,$u_{75}$,893,807,760,730,709,691,674,663,650,642,631,621,612,603,595,585,574,563,558,552
