,models,auc,far
0,$Average$,33.915,$Average$
1,$u_{SCF}$,32.265,{SCF}$
2,$u_{25}$,32.31,{25}$
3,$u_{50}$,32.16,{50}$
4,$u_{75}$,32.055,{75}$
