,models,0.0,0.0079,0.0158,0.0237,0.0316,0.0395,0.0474,0.0553,0.0632,0.0711,0.0789,0.0868,0.0947,0.1026,0.1105,0.1184,0.1263,0.1342,0.1421,0.15
0,$Average$,376,341,316,287,266,245,235,226,219,209,203,197,190,184,181,179,173,168,165,162
1,$u_{SCF}$,351,319,293,266,252,231,221,214,208,200,196,190,185,179,176,173,166,163,161,158
2,$u_{25}$,356,322,287,269,248,233,223,214,202,199,198,193,188,182,177,173,167,162,159,156
3,$u_{50}$,356,321,290,267,245,233,223,212,202,199,196,194,187,182,174,170,164,162,157,154
4,$u_{75}$,355,322,290,266,247,233,219,212,202,197,195,192,186,180,174,172,166,158,156,152
