,models,auc,far
0,$Average$,60.0675,$Average$
1,$u_{SCF}$,64.77,{SCF}$
2,$u_{25}$,65.0475,{25}$
3,$u_{50}$,65.6775,{50}$
4,$u_{75}$,64.74,{75}$
