,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,207.52,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,189.94,{MC}$ probe scale 1.5
2,$u_{SCF}$,276.08,{SCF}$
