,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,0.2901,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,0.2915,{MC}$ probe scale 1.5
2,$u_{SCF}$,0.2942,{SCF}$
