,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,113.36,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,109.98,{MC}$ probe scale 1.5
2,$u_{SCF}$,225.2,{SCF}$
