,models,0.0,0.0214,0.0429,0.0643,0.0857,0.1071,0.1286,0.15,0.1714,0.1929,0.2143,0.2357,0.2571,0.2786,0.3
0,$u_{MC}$ simple probe scale 1.5,268,260,251,246,232,224,215,211,200,194,187,181,173,160,146
1,$u_{MC}$ probe scale 1.5,253,233,227,221,211,202,194,187,181,176,162,144,133,126,113
2,$u_{SCF}$,201,153,131,115,105,97,89,86,83,79,75,73,67,64,60
