,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,62.96,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,55.26,{MC}$ probe scale 1.5
2,$u_{SCF}$,29.56,{SCF}$
