,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,28.26,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,20.9,{MC}$ probe scale 1.5
2,$u_{SCF}$,14.9,{SCF}$
