,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,2.94,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,3.8,{MC}$ probe scale 1.5
2,$u_{SCF}$,6.42,{SCF}$
