,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,0.2892,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,0.2901,{MC}$ probe scale 1.5
2,$u_{SCF}$,0.2844,{SCF}$
