,models,auc,far
0,$u_{MC}$ simple probe scale 1.5,0.0141,{MC}$ simple probe scale 1.5
1,$u_{MC}$ probe scale 1.5,0.0137,{MC}$ probe scale 1.5
2,$u_{SCF}$,0.0276,{SCF}$
