,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,431,70,8,121,630,0.9779501385041551,0.048492349234923494,0.9655398752871677
1,$u_{scf}$,439,68,8,118,633,0.9785208148804252,0.0494313703411778,0.9654268392593807
