,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,503,126,47,222,898,0.9591520165460186,0.05069031542880177,0.9538255861785274
1,$u_{scf}$,518,126,48,226,918,0.9586349534643226,0.052201955053915144,0.9528214616096208
