,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{Power}$,363,44,7,87,501,0.9827024316871397,0.04894822006472492,0.9690377603361967
1,$u_{scf}$,379,46,5,75,505,0.9842045881910493,0.05109882701901038,0.9688406244215462
