,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,19,154,114,173,268,422,709,0.9696103346039814,0.04428121720881427,0.9627293276559955
1,$u_{SCF}$,13,162,95,175,257,448,718,0.9714104193138501,0.04700944386149003,0.9623413406063149
2,$u_{new embed}$,15,159,115,174,274,470,759,0.9693791057427421,0.049286912751677854,0.9601721152332475
