,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,15,123,92,138,215,392,622,0.9748496446145435,0.04329099944781888,0.9662909169737698
1,$u_{SCF}$,11,131,76,142,207,432,650,0.9761618370694368,0.047708448371065706,0.9648724600086468
2,$u_{new embed}$,12,130,86,142,216,453,681,0.9750164365548981,0.04992285651311439,0.9631433674297776
