,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,9,90,75,99,165,363,537,0.9796823914058851,0.04403202328966521,0.9689900098169429
1,$u_{SCF}$,7,99,60,106,159,408,574,0.9806165343297525,0.049490538573508006,0.9669545192861255
2,$u_{new embed}$,12,106,63,118,169,413,594,0.9787981726601851,0.04993350259944384,0.9656766439385184
