,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,15,113,86,128,199,383,597,0.9762723140037698,0.04316952209197475,0.9672104135771955
1,$u_{SCF}$,11,122,70,133,192,425,628,0.977491961414791,0.04790351668169522,0.9656078860898138
2,$u_{new embed}$,12,123,83,135,206,443,661,0.9757535313090868,0.0497752808988764,0.9636952820343824
