,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{MC}$ simple probe scale 1.5,187,61,4,194,446,0.9722698072805139,0.028884769848625272,0.9760318142734308
1,$u_{MC}$ probe scale 1.5,187,45,7,176,415,0.9755679382768967,0.02884912064177723,0.9777157278633948
2,$u_{SCF}$,706,39,11,79,835,0.9842008573178199,0.0922996470126814,0.9506121724729402
