,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{MC}$ simple probe scale 1.5,698,157,18,251,1124,0.9556942277691107,0.07638432917487416,0.9423648856527536
1,$u_{MC}$ probe scale 1.5,682,120,23,227,1052,0.9613939899833055,0.07438106663758316,0.9459958932238193
2,$u_{SCF}$,855,67,27,131,1080,0.9759512612227448,0.0909864850484197,0.9441629614310827
