,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{MC}$ simple probe scale 1.5,144,50,4,181,379,0.9746903607969843,0.025312005624890138,0.9794902321554196
1,$u_{MC}$ probe scale 1.5,146,33,6,144,329,0.9802397149335925,0.025555750043759845,0.9822017852312686
2,$u_{SCF}$,663,34,11,73,781,0.9848872950819673,0.09252023444041306,0.9516737825629602
