,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{power}$,322,37,4,66,429,0.9852413793103448,0.04980665119876257,0.9708460754332314
1,$u_{noise}$,333,38,7,74,452,0.9836538461538461,0.05174825174825175,0.9694057127385949
