,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{power}$,437,71,9,122,639,0.9776028384521566,0.04913424780751068,0.9650303726810048
1,$u_{noise}$,437,78,12,132,659,0.9754125595304021,0.04918955425484016,0.9639358616538062
