,models,false_accept_num,false_reject_num,false_ident_num,false_ident-reject_num,error_sum,dir,far,f1_class
0,$u_{power}$,461,108,11,169,749,0.9697097181320993,0.04769787894464563,0.9609672208035854
1,$u_{noise}$,459,111,14,177,761,0.9682439537329127,0.04750077615647315,0.9603170464619075
