,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,17,125,101,142,226,401,644,0.9737212068779063,0.04329051063370398,0.9654728715419257
1,$u_{SCF}$,10,131,83,141,214,435,659,0.975775927327782,0.046961027744791106,0.964768778401497
2,$u_{25}$,9,132,82,141,214,445,668,0.9759049162614802,0.04808211777417612,0.9643390988682469
3,$u_{50}$,9,132,80,141,212,450,671,0.9761029411764706,0.04858561865687756,0.9641655540720961
4,$u_{75}$,9,130,82,139,212,442,663,0.9761081081081081,0.047732181425485964,0.9645852251482293
