,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,18,139,106,157,245,418,681,0.9719556408615909,0.04427497087172969,0.9639892126275713
1,$u_{SCF}$,10,144,87,154,231,446,687,0.9743015568351461,0.0472407583942379,0.963767733769316
2,$u_{25}$,9,143,90,152,233,450,692,0.9742059262417395,0.04768464554413479,0.9635251950242462
3,$u_{50}$,9,144,89,153,233,455,697,0.9742141715503463,0.048229807080771674,0.9632829373650108
4,$u_{75}$,9,144,89,153,233,449,691,0.9742059262417395,0.047578679665147824,0.9635759843972379
