,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,18,130,105,148,235,407,660,0.9728278380410268,0.043515449588367366,0.9648487430762677
1,$u_{SCF}$,10,136,85,146,221,443,674,0.9751906347331114,0.047364481984390035,0.9642136561537644
2,$u_{25}$,9,137,86,146,223,446,678,0.9750966079862602,0.04771074026529739,0.9640241961158866
3,$u_{50}$,9,138,85,147,223,452,684,0.9750992808844049,0.048357761848721516,0.9637212262649836
4,$u_{75}$,9,134,85,143,219,446,674,0.975523349436393,0.047705636966520484,0.9642402376910018
