,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,19,154,112,173,266,427,712,0.9698189134808853,0.044801175112789846,0.9625814589026698
1,$u_{SCF}$,11,158,94,169,252,448,711,0.9721486815630626,0.047004511593746724,0.9627182633317602
2,$u_{25}$,10,152,96,162,248,454,712,0.9726694915254237,0.047619047619047616,0.9626756133361292
3,$u_{50}$,10,153,92,163,245,459,714,0.9729815638906548,0.048133389261744965,0.9625786163522012
4,$u_{75}$,9,152,95,161,247,453,709,0.9728871001906376,0.04752412924884599,0.9628426183114093
