,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,14,100,84,114,184,377,575,0.9776851121379466,0.043288552072568605,0.9679218967921898
1,$u_{SCF}$,8,110,69,118,179,417,604,0.9789248281302829,0.0478815018945918,0.9663996439697375
2,$u_{25}$,8,114,68,122,182,417,607,0.9786324786324786,0.04798619102416571,0.9662983732163678
3,$u_{50}$,8,115,67,123,182,421,611,0.9786372835619519,0.04845764272559853,0.9660913480215327
4,$u_{75}$,8,113,67,121,180,415,603,0.9788526434195726,0.04774505292222733,0.9665130227133892
