,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,12,97,82,109,179,370,561,0.9782162408759124,0.043508936970837256,0.9683319220999154
1,$u_{SCF}$,6,106,67,112,173,411,590,0.9795848540145985,0.048330197554092194,0.9667942368302566
2,$u_{25}$,8,108,65,116,173,412,593,0.9793543971712102,0.04844209288653733,0.9666197579510273
3,$u_{50}$,7,106,64,113,170,414,591,0.9797922137230277,0.04863150475742981,0.9667136018023093
4,$u_{75}$,8,106,66,114,172,405,585,0.9794520547945206,0.04757988721804511,0.967032967032967
