,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,16,115,88,131,203,385,604,0.9758117958913187,0.04281583629893238,0.966947575790741
1,$u_{SCF}$,10,123,73,133,196,426,632,0.9772476253589574,0.04737544483985765,0.9655172413793103
2,$u_{25}$,8,124,74,132,198,433,639,0.9772777410103685,0.04821826280623608,0.9651941826896889
3,$u_{50}$,8,123,73,131,196,437,641,0.9775033083370093,0.04867453775896636,0.9651042517284556
4,$u_{75}$,8,123,72,131,195,428,631,0.9776111172383368,0.04766677803764339,0.9656299362710388
