,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,19,154,112,173,266,427,712,0.9698189134808853,0.044801175112789846,0.9625814589026698
1,$u_{SCF}$,11,158,94,169,252,448,711,0.9721486815630626,0.047004511593746724,0.9627182633317602
2,$u_{25}$,11,152,97,163,249,449,709,0.9724547091852951,0.047089669638175145,0.9628153353962342
3,$u_{50}$,11,149,102,160,251,447,709,0.9722281110875557,0.04685534591194968,0.9627880123865008
4,$u_{75}$,10,150,92,160,242,449,701,0.9732994278448824,0.047084731543624164,0.9632464740732973
