,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,12,97,82,109,179,370,561,0.9782162408759124,0.043508936970837256,0.9683319220999154
1,$u_{SCF}$,6,106,67,112,173,411,590,0.9795848540145985,0.048330197554092194,0.9667942368302566
2,$u_{25}$,6,106,67,112,173,407,586,0.979570874229628,0.04782608695652174,0.9669896349707076
3,$u_{50}$,8,105,68,113,173,403,584,0.9793260993717875,0.04731713044499237,0.9670651928716444
4,$u_{75}$,6,106,68,112,174,405,585,0.9794754846066135,0.04763585038814397,0.9670700816211653
