,models,true_accept_false_ident,false_reject_false_ident,false_reject_true_ident,false_ident,false_reject,false_accept,error_sum,dir,far,f1_class
0,$Average$,17,123,96,140,219,400,636,0.9742779291553133,0.04357298474945534,0.9656476180187966
1,$u_{SCF}$,10,129,79,139,208,435,653,0.9762397820163488,0.04738562091503268,0.964830074864006
2,$u_{25}$,9,132,81,141,213,438,660,0.9758275261324042,0.04775924108603206,0.964485578992682
3,$u_{50}$,9,129,88,138,217,430,656,0.9754053759930351,0.04691250272747109,0.9646970186201701
4,$u_{75}$,9,131,80,140,211,434,654,0.9760531185370632,0.04733856893542757,0.9648160103292447
